Series Name,URL,Sheets,GiD,ShortURL,Column 1,Column 7,,,Sheets,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=966258644&single=true,,,,,,,,,,,,,46656,392
Star Wars,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml?gid=1710958071&single=true,E,1710958071,https://docs.google.com/spreadsheets/d/e/2PACX-1vQiHU-MXVyliejDfgndH4DG3m-rizR1wVEfgT3WUknA2eCtKyVxus-P4-PKi-bOHkbjV8SBKSiQ2P42/pubhtml,E,1710958071,Series 3,Peeks,,,,,,,,,,,,,,,,
Megas & Specials,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=882717683&single=true,Main,882717683,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,882717683,Series 4,Just Play,,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=272092035,,,,,,,,,,,,,,
Series 03,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=966258644&single=true,Main,966258644,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,966258644,Series 5,Locker,,,,,,,,,,,,,,,,
Series 04,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=713093924&single=true,Main,713093924,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,713093924,Series 6,Neon,,,,,,,,,,,,,,,,
Series 05,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=1004190967&single=true,Main,1004190967,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,1004190967,Series 7,Munchlings,,,,,,,,,,,,,,,,
Series 06,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=272092035,Main,272092035,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,272092035,Series 8,Holiday,,,,,,,,,,,,,,,,
Village Peeks,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml?gid=1863604020&single=true,Main,1863604020,https://docs.google.com/spreadsheets/d/e/2PACX-1vRmnQYyj9RtsvLzmVsyHi2kvVPYQsp5_RlilFEJpr1SRFLLUxDbRPKs0_0HhfvoetWdzkVjWWgOq3BB/pubhtml,Main,1863604020,Series 9,Remember,,,,,,,,,,,,,,,,
Munchlings,http://docs.google.com/spreadsheets/d/e/2PACX-1vRDxntgYU67B6Hcgb-ytCLZxxiSv46CL4sB4mdsOBMBWl7EHOP7aCEv5COWkHH8bbkHAX1wpidQfhYn/pubhtml?,Munchlings,1335729580,http://docs.google.com/spreadsheets/d/e/2PACX-1vRDxntgYU67B6Hcgb-ytCLZxxiSv46CL4sB4mdsOBMBWl7EHOP7aCEv5COWkHH8bbkHAX1wpidQfhYn/pubhtml?,Munchlings,,Squish,Costume,,,,,,,,,,,,,,,,
In Full Bloom,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml?gid=997046717&single=true,C,997046717,https://docs.google.com/spreadsheets/d/e/2PACX-1vSUB4VikMmEcienW3a89orVMbdwahrLEfNXbgp_nIH4xbmfoabPPpFKpMxncJiG9GixBl3lMajxU_HR/pubhtml,C,997046717,Star Wars,In Full Bloom,,,,,,,,,,,,,,,,
ReReleases,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml?gid=2020761232&single=true,B,2020761232,https://docs.google.com/spreadsheets/d/e/2PACX-1vTKKIoEPPo4cpdp4uBOzwfMMKDFCspT3x5HJDchW9uC1qL1wI1oKRZfWsRvFif8WM2RVBThaRqsWrrH/pubhtml,B,2020761232,Village Peeks,ReReleases,,,,,,,,,,,,,,,,
