Series,Name,,Codes,,,,,,,
M.M. Vending,Inside Out,,"TL001, A008",,,,,,,
M.M. Vending,Lilo and Stitch,,A007,,,,,,,
M.M. Vending,Mickey & Friends,,A003,,,,,,,
M.M. Vending,Minnie & Friends,,"A002, A007",,,,,,,
M.M. Vending,Moana,,A005,,,,,,,
M.M. Vending,Nightmare Before Christmas,,A001,,,,,,,
M.M. Vending,Toy Story,,A004,,,,,,,
M.M. Vending,Winnie the Pooh,,A006,,,,,,,
Popcorn,Alien,,A002,,,,,,,
Popcorn,Cheshire Cat,,A003,,,,,,,
Popcorn,Minnie Mouse,,A001,,,,,,,
Popcorn,Stitch,,A004,,,,,,,
,,,,,,,,,,
Code,Series,Type,Character 1,Character 2,Character3,Character4,,,,
A228,1,2Pack,Dark Chocolate Ganache Truffle,Lettuce Wrap,,,Chip,Bambi,,
A229,1,2Pack,Lavender Ice Cream Sundae,Peanut Butter Swirl Cake Pop,,,Ursula,Tigger,,
A230,1,2Pack,Frosted Sugar,Salted Caramel Chocolate Tart,,,Nemo,Mickey Mouse,,
A231,1,2Pack,Chocolate Dipped Sponge Cake,Peanut Butter Swirl Cake Pop,,,Wall-E,Tigger,,
A232,1,2Pack,Garlic Mini Baguette,Salted Caramel Chocolate Tart,,,Tramp,Mickey Mouse,,
A233,1,2Pack,French Hot Chocolate,Mochi Sundae,,,Remy,Pearl,,
A234,1,2Pack,French Hot Chocolate,Roasted Butternut Squash Ravioli,,,Remy,Lady,,
A235,1,2Pack,Frosted Sugar,Strawberry Sundae Waffle Bowl,,,Nemo,Minnie Mouse,,
A236,1,2Pack,Cheesy Grilled Squash,Salted Caramel Chocolate Tart,,,Timon,Mickey Mouse,,
A237,1,2Pack,Chocolate Dipped Sponge Cake,Dark Chocolate Ganache Truffle,,,Wall-E,Chip,,
A238,1,2Pack,Blue Raspberry Frozen Yogurt,Mint Dipped Ice Cream Sandwich,,,Flotsam & Jetsam,Mickey Mouse,,
A239,1,2Pack,Dragonfruit Petit Cake,Salmon Roll,,,Pua,Daisy Duck,,
A240,1,2Pack,Cinnamon Cherry Macaron,French Hot Chocolate,,,Sebastian,Remy,,
A241,1,2Pack,Banana Berry Candy,Sea Salt Caramel Cookie,,,Flounder,Mochi,,
A241,1,2Pack,Banana Berry Candy,Salted Caramel Chocolate Tart,,,Flounder,Mickey Mouse,,
A242,1,2Pack,Dark Chocolate Ganache Truffle,Garlic Mini Baguette,,,Chip,Tramp,,
A243,1,2Pack,Everything Bagel Sandwich,Onigiri Nori,,,Minnie Mouse,Donald Duck,,
A244,1,2Pack,Blue Raspberry Frozen Yogurt,Pumpkin Sage,,,Flotsam & Jetsam,Pumbaa,,
A244,1,2Pack,Mint Dipped Ice Cream Sandwich,Pumpkin Sage,,,Mickey Mouse,Pumbaa,,
A245,1,2Pack,Peanut Butter Swirl Cake Pop,Strawberry Sundae Waffle Bowl,,,Tigger,Minnie Mouse,,
A246,1,2Pack,Milk Chocolate Ganache Truffle,Onigiri Nori,,,Dale,Donald Duck,,
A247,1,2Pack,Salmon Roll,Spiced Carrot Cake,,,Daisy Duck,Thumper,,
A248,1,2Pack,Dragonfruit Petit Cake,Peanut Butter Swirl Cake Pop,,,Pua,Tigger,,
A249,1,2Pack,Lettuce Wrap,,,,Bambi,,,
A249,1,2Pack,Frosted Sugar,Lettuce Wrap,,,Nemo,Bambi,,
A250,1,2Pack,Orange Ice Pop,Sea Salt Caramel Cookie,,,Marlin,Mochi,,
A250,1,2Pack,Peanut Butter Swirl Cake Pop,Salted Caramel Chocolate Tart,,,Tigger,Mickey Mouse,,
A251,1,2Pack,Oat Milk,,,,Baymax,,,
A251,1,2Pack,French Hot Chocolate,Oat Milk,,,Remy,Baymax,,
A252,1,2Pack,Chocolate Dipped Sponge Cake,Milk Chocolate Ganache Truffle,,,Wall-E,Dale,,
A253,1,2Pack,Dragonfruit Petit Cake,Lemon Berry Ice Pop,,,Pua,Dory,,
A253,1,2Pack,Dark Chocolate Ganache Truffle,Dragonfruit Petit Cake,,,Chip,Pua,,
A254,1,2Pack,Dragonfruit Petit Cake,Lemon Berry Ice Pop,,,Pua,Dory,,
A255,1,2Pack,Frosted Sugar,Strawberry Croissant,,,Nemo,Emile,,
A256,1,2Pack,French Hot Chocolate,Salted Caramel Chocolate Tart,,,Remy,Mickey Mouse,,
A257,1,2Pack,Dark Chocolate Ganache Truffle,French Hot Chocolate,,,Chip,Remy,,
A258,1,2Pack,Dragonfruit Petit Cake,Strawberry Sundae Waffle Bowl,,,Pua,Minnie Mouse,,
A259,1,2Pack,Chocolate Dipped Mint Marshmallow,Milk Chocolate Ganache Truffle,,,Eve,Dale,,
A260,1,2Pack,Onigiri Nori,Salted Caramel Chocolate Tart,,,Donald Duck,Mickey Mouse,,
A261,1,2Pack,Lettuce Wrap,Tropical Fruit Slushy,,,Bambi,Hei Hei,,
A262,1,2Pack,Chocolate Dipped Sponge Cake,Dragonfruit Petit Cake,,,Wall-E,Pua,,
